,CAFO_ID
0,1.0
1,2.0
2,3.0
3,4.0
4,5.0
5,6.0
6,7.0
7,8.0
8,9.0
9,10.0
10,11.0
11,12.0
12,13.0
13,14.0
14,15.0
15,18.0
16,19.0
17,20.0
18,21.0
19,22.0
20,23.0
21,24.0
22,25.0
23,26.0
24,27.0
25,28.0
26,29.0
27,30.0
28,31.0
29,32.0
30,33.0
31,34.0
32,35.0
33,36.0
34,37.0
35,38.0
36,40.0
37,41.0
38,42.0
39,43.0
40,44.0
41,45.0
42,46.0
43,51.0
44,52.0
45,53.0
46,54.0
47,55.0
48,56.0
49,57.0
50,58.0
51,59.0
52,60.0
53,61.0
54,63.0
55,64.0
56,65.0
57,66.0
58,67.0
59,68.0
60,69.0
61,70.0
62,71.0
63,72.0
64,73.0
65,74.0
66,75.0
67,76.0
68,77.0
69,78.0
70,79.0
71,80.0
72,81.0
73,82.0
74,83.0
75,84.0
76,86.0
77,93.0
78,94.0
79,95.0
80,96.0
81,97.0
82,98.0
83,99.0
84,100.0
85,101.0
86,102.0
87,103.0
88,104.0
89,88.0
90,91.0
91,85.0
92,90.0
93,89.0
94,87.0
95,92.0
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
